SensorID,TestSequence,Voltage,TubeCurrent,rho_dark_all,rho_Xray_all,rho_net_all,mu_tau_h_all,Int_E_dark,Int_E_Xray,Missing_voltage
D325120,4,500,25,-40882779049.68269,28866413415.413334,69749192465.09601,0.00022490546058357826,419.12345683992464,269.16795788122147,149.95549895870317
D325120,4,700,0,-30332923824.517975,,,,696.2703296645343,,
D325120,4,700,7,-30332923824.517975,17788254239.66632,48121178064.1843,0.00021577444091526668,696.2703296645343,517.0142166071362,179.25611305739812
D325120,4,700,25,-30332923824.517975,21597690988.78912,51930614813.30709,0.00020230191786782718,696.2703296645343,499.66915453789176,196.60117512664254
D325120,5,500,0,-27501426093.27367,,,,481.85151189953467,,
D325120,5,500,7,-27501426093.27367,44782652997.855225,72284079091.12888,0.00019952623149688788,481.85151189953467,286.5916095914273,195.25990230810737
D325120,5,500,25,-27501426093.27367,55186083067.73994,82687509161.01361,0.0001770108958317422,481.85151189953467,294.72422587374285,187.12728602579182
D325120,5,700,0,-37656547678.48503,,,,758.2384338312738,,
D325120,5,700,7,-37656547678.48503,44205336999.5266,81861884678.01166,0.00011246049739669269,758.2384338312738,548.589482106868,209.64895172440583
D325120,5,700,25,-37656547678.48503,54546031006.65154,92202578685.13658,0.00010280162981264735,758.2384338312738,511.752505910014,246.48592792125982
D325120,6,500,0,-39705340774.11837,,,,438.37478512273856,,
D325120,6,500,7,-39705340774.11837,37109634690.75081,76814975464.86917,0.00017988709151287876,438.37478512273856,286.7120290657926,151.66275605694597
D325120,6,500,25,-39705340774.11837,56182484380.81874,95887825154.9371,0.00014689262776438662,438.37478512273856,316.07711559937934,122.29766952335922
D325120,6,700,0,-36840715779.64208,,,,759.6716907501575,,
D325120,6,700,7,-36840715779.64208,43433807675.7787,80274523455.42076,0.0001309181922999407,759.6716907501575,565.0268567670785,194.64483398307902
D325120,6,700,25,-36840715779.64208,49750360578.0041,86591076357.64615,0.00012359474334445108,759.6716907501575,545.0923692082984,214.57932154185914
D325120,7,500,0,-32957023883.510742,,,,460.80945716783907,,
D325120,7,500,7,-32957023883.510742,38787049558.43181,71744073441.94255,0.00019408858775927794,460.80945716783907,289.3202440817853,171.48921308605378
D325120,7,500,25,-32957023883.510742,49023579536.68413,81980603420.19487,0.00016904409316432633,460.80945716783907,298.6141038448545,162.19535332298454
D325120,7,700,0,-20424842974.979588,,,,755.7547220547763,,
D325120,7,700,7,-20424842974.979588,30526633198.23238,50951476173.211975,0.00018113400926196026,755.7547220547763,568.6934720180022,187.06125003677403
D325120,7,700,25,-20424842974.979588,40424047762.930885,60848890737.91047,0.00015739828644662196,755.7547220547763,552.991684223088,202.76303783168828
D325120,8,500,0,-31773471823.947495,,,,442.39302720251413,,
D325120,8,500,7,-31773471823.947495,37572828410.94203,69346300234.88953,0.0002046444636724674,442.39302720251413,287.4330439439889,154.95998325852526
D325120,8,500,25,-31773471823.947495,45264825087.44051,77038296911.38802,0.00018238957023196384,442.39302720251413,291.5576236498375,150.8354035526766
D325120,8,700,0,-26689630376.66969,,,,732.3561926812993,,
D325120,8,700,7,-26689630376.66969,36273357522.68594,62962987899.35563,0.00015381546403030357,732.3561926812993,552.1890911344619,180.16710154683733
D325120,8,700,25,-26689630376.66969,42186224435.13654,68875854811.80623,0.0001442115351524868,732.3561926812993,527.3693787968349,204.98681388446437
D325120,9,500,0,-29604223835.175747,,,,449.46465484267566,,
D325120,9,500,7,-29604223835.175747,36394498243.56051,65998722078.736244,0.00023067471887200692,449.46465484267566,255.8744173231043,193.59023751957136
D325120,9,500,25,-29604223835.175747,44062946971.21412,73667170806.38986,0.0002089296130854041,449.46465484267566,275.6619693517681,173.80268549090755
D325120,9,700,0,-17437514624.43016,,,,732.722896183321,,
D325120,9,700,7,-17437514624.43016,37124874688.18975,54562389312.61991,0.00018365383433483474,732.722896183321,538.081233267505,194.64166291581603
D325120,9,700,25,-17437514624.43016,40747346110.98462,58184860735.41479,0.00017179083871575893,732.722896183321,512.2770470609157,220.44584912240532
D325120,10,500,0,-32050795637.490715,,,,426.2857312000137,,
D325120,10,500,7,-32050795637.490715,37509655117.87919,69560450755.3699,0.00022490546058357826,426.2857312000137,219.84372802056183,206.44200317945186
D325120,10,500,25,-32050795637.490715,41403835557.4778,73454631194.96852,0.00019142559250210858,426.2857312000137,287.1177873532037,139.16794384680998
D325120,10,700,0,-24232858373.919098,,,,739.5856822322744,,
D325120,10,700,7,-24232858373.919098,26665613433.943928,50898471807.863014,0.00018071741260109278,739.5856822322744,526.35593344076,213.22974879151434
D325120,10,700,25,-24232858373.919098,40406862958.20879,64639721332.1279,0.00015031419660900224,739.5856822322744,526.9520562397058,212.63362599256857
D325145,1,500,0,-19303395568.43903,,,,510.76780666957586,,
D325145,1,500,7,-19303395568.43903,19969777702.02058,39273173270.4596,0.00026668586645214805,510.76780666957586,486.93904745155294,23.828759218022924
D325145,1,500,25,-19303395568.43903,23000600555.836266,42303996124.27529,0.0002540972705549306,510.76780666957586,487.2076790183256,23.56012765125024
D325145,1,700,0,-50891455311.29725,,,,716.0375901280308,,
D325145,1,700,7,-50891455311.29725,25955666326.78062,76847121638.07787,0.000156675107010815,716.0375901280308,679.5736886158919,36.46390151213893
D325145,1,700,25,-50891455311.29725,29148762780.13736,80040218091.4346,0.00014927944095789958,716.0375901280308,676.4297618807271,39.6078282473037
D325145,2,500,0,-25416935707.744987,,,,507.07574848100955,,
D325145,2,500,7,-25416935707.744987,15785640243.360943,41202575951.10592,0.0002624218543384442,507.07574848100955,483.00621929303725,24.069529187972307
D325145,2,500,25,-25416935707.744987,17150587159.527468,42567522867.27245,0.0002466039337234341,507.07574848100955,483.4078800192773,23.66786846173227
D325145,2,700,0,-44536279220.14915,,,,710.173026546281,,
D325145,2,700,7,-44536279220.14915,19103677898.110474,63639957118.25962,0.00019186687406702892,710.173026546281,675.6906564357723,34.48237011050867
